MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), Ozone (ug/m3), PM10 Particulate (ug/m3), PM2.5 Particulate (ug/m3)
2018-10-21,764.43,915.76,1989.54,314.4,432.55,255.85
2018-10-22,970.56,927.54,2295.49,314.4,435.0,217.85
2018-10-23,1169.88,1103.33,2745.24,314.4,405.65,201.6
2018-10-24,1121.93,1045.07,2648.05,314.4,422.4,205.45
2018-10-25,1082.81,1100.89,2645.86,314.4,459.1,250.1
2018-10-26,910.22,998.43,2227.26,314.4,294.2,176.6
2018-10-27,495.37,578.32,1135.62,314.4,263.6,145.6
2018-10-28,447.27,591.03,1082.91,314.4,197.0,115.9
2018-10-29,775.95,794.17,1805.29,314.4,285.2,145.45
2018-10-30,871.2,838.86,2015.25,314.4,356.3,169.6
2018-10-31,1064.58,1033.78,2594.32,314.4,360.35,195.15
2018-11-01,1059.92,1074.13,2644.08,314.4,384.05,261.15
2018-11-02,1563.33,1243.62,3663.18,314.4,528.75,333.95
2018-11-03,438.4,796.2,1406.79,314.4,398.9,264.15
2018-11-04,416.75,721.19,1197.36,314.4,493.65,287.95
2018-11-05,1902.03,1071.84,3938.16,314.4,942.0,567.3
2018-11-06,648.53,734.37,1632.01,314.4,475.75,272.7
2018-11-07,398.04,533.08,992.69,314.4,276.95,120.05
2018-11-08,383.77,669.32,1118.94,314.4,315.95,133.5
2018-11-09,566.37,688.36,1401.59,314.4,320.8,167.15
2018-11-10,398.03,638.33,1163.29,314.4,316.6,136.35
2018-11-11,345.94,537.65,945.09,314.4,270.7,127.65
2018-11-12,410.88,632.19,1215.26,314.4,287.43,116.0
2018-11-13,579.12,740.79,1587.14,314.4,333.65,126.1
2018-11-14,682.05,759.42,1756.2,314.4,391.45,192.8
2018-11-15,598.19,739.43,1547.06,314.4,503.5,275.25
2018-11-16,933.27,813.8,2134.2,314.4,376.5,212.4
2018-11-17,789.65,1018.03,2099.98,314.4,557.2,327.2
2018-11-18,562.39,949.67,1680.21,314.4,456.05,250.15
2018-11-19,591.04,772.83,1492.16,314.4,247.6,141.25
