MeasurementDateGMT,Southwark - Elephant and Castle: Nitric Oxide (ug/m3),Southwark - Elephant and Castle: Nitrogen Dioxide (ug/m3),Southwark - Elephant and Castle: Oxides of Nitrogen (ug/m3),Southwark - Elephant and Castle: Ozone (ug/m3),Southwark - Elephant and Castle: PM10 Particulate (ug/m3)
2018-12-28,1358.8999999999999,1248.1000000000001,3331.3000000000015,97.6,753.9
2018-12-29,116.4,739.6,918.0,673.2,384.49999999999994
2018-12-30,109.5,653.5000000000001,821.1999999999999,652.8000000000001,263.40000000000003
2018-12-31,22.5,350.9999999999999,385.5000000000001,1229.3999999999999,216.7
2019-01-01,42.4,541.5,607.2,1091.7,347.4
2019-01-02,103.8,730.6,889.9000000000002,1077.7,427.6
2019-01-03,157.0,923.9999999999999,1164.8,909.9000000000001,382.4
2019-01-04,253.10000000000002,1166.1000000000001,1554.5000000000002,443.1999999999999,755.1999999999999
2019-01-05,108.6,885.5000000000001,1052.3,683.3000000000001,608.6
2019-01-06,126.60000000000001,1101.4,1295.8000000000002,410.3,620.8999999999999
2019-01-07,52.9,739.1,819.8,807.9,466.99999999999983
2019-01-08,106.15,793.5999999999999,956.8000000000001,912.6500000000001,583.2
2019-01-09,185.90000000000003,930.0,1215.3,759.4000000000002,413.79999999999995
2019-01-10,754.8000000000001,1346.3999999999999,2503.8,239.39999999999995,821.6
2019-01-11,247.49999999999997,1132.2,1511.9,390.0,525.0
2019-01-12,34.5,592.1000000000001,645.3999999999999,960.0000000000001,256.40000000000003
2019-01-13,26.300000000000004,392.3,433.1,1263.1000000000001,272.09999999999997
2019-01-14,72.8,803.1,914.7000000000002,966.0,425.8
2019-01-15,80.6,810.4,934.1999999999998,838.1,433.60837004405283
2019-01-16,114.80000000000001,703.9,880.0999999999998,1011.4000000000001,477.18237885462554
2019-01-17,147.3,1022.1,1248.2,686.1,521.5876651982379
2019-01-18,469.50000000000006,1140.7000000000003,1859.7,589.1,565.9929515418503
2019-01-19,204.30000000000004,833.5000000000001,1147.0000000000002,697.3,610.3982378854624
2019-01-20,617.0000000000001,1320.6,2267.2,267.69999999999993,654.8035242290748
2019-01-21,1518.2,1400.3999999999999,3728.0,326.1,699.2088105726873
2019-01-22,189.2,1061.0,1351.1,769.3,743.6140969162996
2019-01-23,415.69999999999993,1170.4999999999998,1808.3999999999999,653.3999999999999,788.0193832599119
2019-01-24,1482.6000000000001,1808.8999999999999,4082.2,106.5,801.5845814977972
2019-01-25,393.8000000000001,1337.0499999999997,1940.5,246.9,524.6999999999999
2019-01-26,45.09999999999999,483.79999999999995,552.8000000000001,1258.6,293.90000000000003
2019-01-27,29.600000000000005,398.7,444.0,1351.9,314.00000000000006
2019-01-28,287.1,1066.7,1506.8,794.4000000000001,385.4
2019-01-29,225.79999999999998,1178.4999999999998,1524.9000000000003,648.8,404.8
2019-01-30,547.0,1301.8,2140.6,583.9999999999999,380.79999999999995
2019-01-31,1506.4999999999998,1437.8,3747.6000000000004,487.99999999999994,657.9000000000001
2019-02-01,166.7,924.2,1179.5,777.1999999999999,354.09999999999997
2019-02-02,134.70000000000002,807.4999999999999,1013.8999999999999,851.8999999999999,355.20000000000005
2019-02-03,185.80000000000007,956.1,1240.6999999999998,717.7000000000002,366.6
2019-02-04,272.4,886.8000000000001,1304.7999999999997,842.8000000000001,298.4
2019-02-05,229.0,860.4000000000001,1212.0999999999997,547.2999999999998,349.70000000000005
2019-02-06,169.09999999999997,881.4,1138.7,746.3999999999999,358.8
2019-02-07,51.1,484.6,562.9000000000001,1397.1000000000004,298.40000000000003
2019-02-08,99.80000000000003,458.1,611.3000000000001,1418.4,343.5
2019-02-09,53.9,401.3,483.5,1543.6999999999998,381.1
2019-02-10,32.1,571.2,620.7,1239.4,144.1
2019-02-11,240.5,1064.6999999999998,1433.6000000000001,775.2,272.9
2019-02-12,216.59999999999997,1067.1000000000001,1399.2,737.0999999999998,429.99999999999994
2019-02-13,215.79999999999998,975.1,1305.8,767.5,534.5
2019-02-14,1187.6999999999996,1521.2,3342.6000000000004,296.5,815.4000000000001
2019-02-15,876.0999999999998,1439.6000000000001,2783.0,409.09999999999997,929.8
2019-02-16,173.99999999999997,1072.2,1339.7,642.4,808.8000000000001
2019-02-17,129.6,846.5999999999999,1045.3,972.4000000000001,767.3
2019-02-18,137.8,859.7,1071.3,1011.1000000000001,464.2
2019-02-19,116.74999999999999,769.85,949.0000000000001,1124.2000000000003,455.69999999999993
2019-02-20,132.29999999999998,695.3,898.0000000000001,1118.8999999999999,434.89999999999986
2019-02-21,83.40000000000002,762.8000000000002,890.5,1067.4000000000003,561.3
2019-02-22,743.1999999999999,1226.5,2366.1000000000004,433.3,808.5
2019-02-23,548.5,1097.2999999999997,1938.8000000000004,355.89999999999986,866.3
2019-02-24,1268.7,1644.3999999999999,3589.5999999999995,167.00000000000003,1082.6000000000001
2019-02-25,2001.2000000000003,2070.6000000000004,5139.400000000001,138.69999999999993,1403.4999999999995
2019-02-26,2622.7000000000003,2307.1,6328.4000000000015,123.89999999999999,1662.2671641791042
2019-02-27,1740.6999999999998,1931.5000000000002,4600.3,345.4,1635.0805970149252
2019-02-28,99.80000000000001,981.5000000000003,1134.8999999999999,898.9999999999999,1234.459701492537
2019-03-01,120.89999999999999,836.9,1022.0999999999999,868.8,860.9925373134328
2019-03-02,61.00000000000001,446.40000000000003,539.6,1302.2000000000003,430.90000000000003
2019-03-03,41.49999999999999,274.4,337.9,1621.3000000000004,328.0
2019-03-04,41.80000000000001,434.59999999999997,498.8,1457.6000000000004,220.30000000000004
2019-03-05,73.7,526.3999999999999,640.0,1449.6000000000001,289.6
2019-03-06,99.1,428.6,580.8999999999999,1404.4,390.19999999999993
2019-03-07,25.8,361.7,401.3,1503.5999999999997,212.0
2019-03-08,116.6,666.9,845.5500000000001,1155.6,273.50000000000006
2019-03-09,31.3,391.2,438.59999999999997,1626.4000000000003,478.69999999999993
2019-03-10,22.5,362.09999999999997,396.3999999999999,1583.3,188.6
2019-03-11,45.400000000000006,445.59999999999997,515.0,1555.0999999999997,338.0
2019-03-12,67.0,459.2,561.8999999999999,1538.1999999999998,272.9
2019-03-13,17.5,356.99999999999994,383.1000000000001,1610.4,368.49999999999994
2019-03-14,20.099999999999998,397.80000000000007,428.49999999999994,1641.9999999999998,305.79999999999995
2019-03-15,16.200000000000003,307.6,332.6,1410.0,145.6
2019-03-16,22.9,218.89999999999998,253.89999999999995,1762.5,288.2
2019-03-17,11.900000000000002,370.0,388.2000000000001,1564.5000000000002,115.5
2019-03-18,97.7,858.9000000000001,1008.5,1039.4999999999998,309.1
2019-03-19,108.0,817.7000000000002,983.5500000000001,780.1500000000001,357.49999999999994
2019-03-20,49.800000000000004,597.2,673.4,1144.6000000000001,274.7
2019-03-21,144.5,799.8000000000001,1020.8000000000001,684.5000000000001,362.3
2019-03-22,97.0,645.0999999999999,793.8,957.2,361.20000000000005
2019-03-23,111.3,840.6000000000001,1011.3000000000001,925.6,504.79999999999995
2019-03-24,159.70000000000002,863.9,1108.9999999999998,1107.8000000000002,489.79999999999995
2019-03-25,98.60000000000001,657.2,808.6000000000001,1399.9999999999995,411.09999999999997
2019-03-26,321.69999999999993,1350.3000000000002,1843.3000000000002,732.6999999999999,637.1000000000001
2019-03-27,195.1,1077.8,1376.3999999999996,1024.4,437.8
2019-03-28,335.59999999999997,1409.7,1923.8000000000002,784.4000000000001,654.8000000000001
2019-03-29,568.4000000000001,1440.1999999999998,2311.0000000000005,673.6999999999999,935.4999999999999
2019-03-30,799.1,1293.7999999999997,2518.900000000001,880.6999999999999,1217.5
2019-03-31,46.89999999999999,501.1000000000001,573.5,1536.3999999999996,743.9
2019-04-01,186.02692307692308,816.0538461538462,1102.1384615384616,1052.0538461538463,672.8
2019-04-02,102.82307692307693,913.2461538461538,1072.0615384615385,1066.3461538461538,594.9000000000001
