MeasurementDateGMT,London Teddington Bushy Park : PM10 Particulate (ug/m3),London Teddington Bushy Park : PM2.5 Particulate (ug/m3)
2020-05-08,366.6,233.49999999999997
2020-05-09,643.6891891891892,526.2675675675678
2020-05-10,533.545945945946,376.6378378378378
2020-05-11,328.16486486486485,133.9945945945946
2020-05-12,258.0,121.89999999999998
2020-05-13,233.6,118.8
2020-05-14,173.10000000000005,89.3
2020-05-15,366.0,183.1
2020-05-16,333.50000000000006,143.49999999999997
2020-05-17,355.79999999999995,141.20000000000002
2020-05-18,390.5999999999999,127.50000000000001
2020-05-19,311.9,104.19999999999999
2020-05-20,382.70000000000005,122.2
2020-05-21,422.1000000000001,136.8
2020-05-22,767.6,261.3
2020-05-23,651.7,214.40000000000006
2020-05-24,460.0,208.00000000000003
2020-05-25,463.3999999999999,207.40000000000003
2020-05-26,342.8999999999999,147.6
2020-05-27,346.1000000000001,155.2
2020-05-28,250.70000000000002,133.3
2020-05-29,210.39999999999998,109.85
2020-05-30,354.50000000000006,196.6
2020-05-31,283.3,140.79999999999998
2020-06-01,303.79999999999995,121.4
2020-06-02,394.8999999999999,141.20000000000002
2020-06-03,612.5999999999999,240.20000000000002
2020-06-04,235.4,108.9
2020-06-05,211.10000000000002,75.6
2020-06-06,195.49999999999997,94.00000000000003
2020-06-07,139.3,96.70000000000002
2020-06-08,238.20000000000002,148.7
2020-06-09,311.09999999999997,187.99999999999997
2020-06-10,265.79999999999995,196.10000000000005
2020-06-11,330.29999999999995,262.3
2020-06-12,482.1,416.1
2020-06-13,193.5,109.59999999999997
2020-06-14,162.5,109.8
2020-06-15,168.39999999999998,110.10000000000001
2020-06-16,182.29999999999995,123.30000000000003
2020-06-17,211.5,149.39999999999998
2020-06-18,158.3,110.7
2020-06-19,174.70000000000002,112.9
2020-06-20,158.60000000000002,102.59999999999998
2020-06-21,217.39999999999998,122.6
2020-06-22,316.8,174.09999999999997
2020-06-23,349.8,186.2
2020-06-24,480.9,295.19999999999993
2020-06-25,478.09999999999985,264.6
2020-06-26,396.2,239.5
2020-06-27,216.99999999999997,115.60000000000001
2020-06-28,269.59999999999997,101.39999999999998
2020-06-29,314.50000000000006,123.29999999999998
2020-06-30,147.20000000000002,77.89999999999998
2020-07-01,152.6,67.8
2020-07-02,157.4,77.0
2020-07-03,239.2,117.0
2020-07-04,130.8,81.99999999999999
2020-07-05,326.0,117.3
2020-07-06,295.4,130.7
2020-07-07,288.19999999999993,126.89999999999999
2020-07-08,135.60000000000002,83.8
2020-07-09,134.5,82.49999999999999
2020-07-10,137.0,58.89999999999999
2020-07-11,165.30000000000004,96.7
2020-07-12,226.99999999999997,153.1
2020-07-13,215.39999999999998,77.1
2020-07-14,163.79999999999998,93.6
2020-07-15,160.79999999999995,80.50000000000001
2020-07-16,152.2,69.8
2020-07-17,335.90000000000003,122.4
2020-07-18,271.2,103.09999999999998
2020-07-19,122.7,74.4
2020-07-20,215.60000000000002,103.3
2020-07-21,239.50000000000003,110.30000000000003
2020-07-22,346.49999999999994,119.10000000000002
2020-07-23,347.1,121.4
2020-07-24,245.3,98.9
2020-07-25,145.6,86.40000000000002
2020-07-26,235.6,106.69999999999999
2020-07-27,190.29999999999998,118.7
2020-07-28,185.00000000000003,77.69999999999999
2020-07-29,200.7,87.19999999999999
2020-07-30,245.2,93.89999999999999
2020-07-31,504.8999999999999,209.39999999999998
2020-08-01,242.90000000000006,101.4
2020-08-02,244.09999999999997,79.7
2020-08-03,187.99999999999994,67.8
2020-08-04,274.29999999999995,100.8
2020-08-05,236.20000000000002,75.0
2020-08-06,211.70000000000002,75.4
2020-08-07,384.525,147.4875
2020-08-08,389.25999999999993,148.05
2020-08-09,361.42,140.85
2020-08-10,333.58000000000004,133.65
2020-08-11,305.73999999999995,126.45
2020-08-12,277.9,119.25
2020-08-13,250.06000000000006,112.05
2020-08-14,222.21999999999997,104.85
2020-08-15,194.38,97.64999999999999
2020-08-16,166.54,90.45
2020-08-17,128.07500000000002,71.7625
2020-08-18,136.0,78.60000000000001
2020-08-19,136.8,81.6
2020-08-20,395.6,190.0
2020-08-21,412.7999999999999,200.50000000000003
2020-08-22,260.0,130.10000000000002
2020-08-23,202.5,98.89999999999999
2020-08-24,164.60000000000002,80.9
2020-08-25,243.18157248157252,130.87886977886976
2020-08-26,401.2481572481572,217.77788697788694
2020-08-27,396.15331695331696,214.23980343980338
2020-08-28,391.0584766584766,210.70171990171988
2020-08-29,385.96363636363634,207.16363636363636
2020-08-30,380.8687960687961,203.6255528255528
2020-08-31,375.7739557739557,200.08746928746925
2020-09-01,370.67911547911547,196.54938574938572
2020-09-02,365.58427518427516,193.0113022113022
2020-09-03,360.4894348894349,189.47321867321864
2020-09-04,355.39459459459454,185.93513513513514
2020-09-05,350.2997542997543,182.39705159705156
2020-09-06,345.20491400491403,178.85896805896806
2020-09-07,340.11007371007366,175.3208845208845
2020-09-08,335.0152334152334,171.78280098280098
2020-09-09,329.9203931203931,168.2447174447174
2020-09-10,324.8255528255528,164.70663390663387
2020-09-11,319.73071253071254,161.16855036855037
2020-09-12,314.6358722358722,157.63046683046682
2020-09-13,309.541031941032,154.0923832923833
2020-09-14,304.44619164619166,150.55429975429973
2020-09-15,299.35135135135135,147.01621621621624
2020-09-16,294.25651105651104,143.47813267813268
2020-09-17,289.16167076167073,139.94004914004915
2020-09-18,284.0668304668304,136.40196560196557
2020-09-19,278.97199017199017,132.86388206388207
2020-09-20,273.8771498771499,129.32579852579852
2020-09-21,268.78230958230955,125.78771498771498
2020-09-22,263.68746928746924,122.24963144963144
2020-09-23,258.592628992629,118.7115479115479
2020-09-24,253.49778869778868,115.17346437346438
2020-09-25,248.40294840294843,111.63538083538083
2020-09-26,243.3081081081081,108.0972972972973
2020-09-27,238.21326781326783,104.55921375921376
2020-09-28,265.504914004914,139.6089680589681
2020-09-29,256.1,201.60000000000002
2020-09-30,180.3,122.05
2020-10-01,152.55,90.1
2020-10-02,148.14999999999998,109.30000000000001
2020-10-03,136.70000000000002,95.9
2020-10-04,78.19999999999999,47.949999999999996
2020-10-05,195.89999999999995,112.20000000000002
2020-10-06,438.8,143.0
2020-10-07,186.80000000000004,100.60000000000001
2020-10-08,143.1,89.29999999999998
2020-10-09,162.89999999999998,104.89999999999999
2020-10-10,134.7,76.0
