MeasurementDateGMT,Greenwich - Plumstead High Street: Nitric Oxide (ug/m3),Greenwich - Plumstead High Street: Nitrogen Dioxide (ug/m3),Greenwich - Plumstead High Street: Oxides of Nitrogen (ug/m3),Greenwich - Plumstead High Street: Ozone (ug/m3),Greenwich - Plumstead High Street: PM10 Particulate (ug/m3),Greenwich - Plumstead High Street: PM2.5 Particulate (ug/m3)
2019-12-13,296.3,749.4,1203.3999999999999,1043.6,146.7873684210526,164.20000000000002
2019-12-14,166.00000000000003,530.7,785.4,1358.9,102.72842105263159,189.39999999999998
2019-12-15,89.10000000000002,312.50000000000006,449.0,1487.1,58.66947368421052,153.79999999999998
2019-12-16,422.5,970.1000000000001,1617.9000000000003,819.2000000000003,94.9011961722488,215.2
2019-12-17,611.4000000000001,1475.6999999999998,2413.5,449.89999999999986,223.44090909090906,310.80000000000007
2019-12-18,474.1,1132.8,1860.3000000000002,497.40000000000003,230.4714285714286,254.20000000000002
2019-12-19,234.29999999999998,542.3,901.5000000000001,949.3000000000001,318.8285714285715,267.3
2019-12-20,383.8,942.3000000000001,1530.9999999999998,809.4,325.6857142857143,164.59999999999997
2019-12-21,233.6,581.2999999999998,939.2999999999998,1188.6000000000001,332.54285714285714,148.79999999999998
2019-12-22,220.69999999999993,671.0000000000001,1009.5999999999999,1036.6000000000004,339.3999999999999,182.8
2019-12-23,310.29999999999995,733.0999999999999,1208.6,864.4000000000001,346.25714285714275,186.9
2019-12-24,290.29999999999995,745.9000000000001,1190.9,1079.8999999999999,353.1142857142856,217.9
2019-12-25,439.70000000000005,876.0999999999999,1550.2,662.0,359.9714285714287,308.79999999999995
2019-12-26,193.70000000000002,683.9,981.3000000000002,812.0999999999999,366.82857142857154,243.40000000000003
2019-12-27,876.6000000000001,1173.0,2517.1000000000004,354.5000000000001,373.6857142857143,440.19999999999993
2019-12-28,485.4,904.3,1648.3,375.9,380.54285714285714,422.79999999999995
2019-12-29,664.1999999999999,940.2999999999998,1958.6999999999998,469.1999999999999,387.3999999999999,503.9
2019-12-30,1089.1000000000004,1357.7000000000003,3028.000000000001,82.09999999999994,394.25714285714275,603.1999999999999
2019-12-31,611.2000000000002,1167.7,2104.5999999999995,72.1,401.1142857142857,690.0
2020-01-01,783.1999999999998,1275.1,2476.1,83.2,407.9714285714286,1077.7
2020-01-02,210.5,477.5,800.1,925.3,414.82857142857154,230.7
2020-01-03,377.2,951.5999999999999,1530.4,919.3000000000002,421.68571428571437,205.50000000000003
2020-01-04,370.00000000000006,1072.2,1639.9,719.1999999999999,428.54285714285714,248.70000000000002
2020-01-05,244.09999999999997,732.3000000000001,1106.5000000000002,1102.4999999999998,435.3999999999999,191.0
2020-01-06,216.70000000000002,576.9,908.9000000000001,1173.9999999999995,442.25714285714275,218.9
2020-01-07,157.90000000000003,471.3,713.5999999999999,1067.9,449.1142857142857,224.99999999999994
2020-01-08,526.9,1029.2,1837.4,679.5999999999999,455.9714285714286,344.2
2020-01-09,122.80000000000001,420.4,608.8,1142.1,462.82857142857154,150.20000000000002
2020-01-10,417.8,1072.8,1714.0,739.5999999999998,469.68571428571437,237.00000000000003
2020-01-11,74.7,307.69999999999993,422.0,1440.9000000000003,476.5428571428572,196.09999999999997
2020-01-12,115.39999999999999,409.1000000000001,585.6,1281.2000000000003,483.3999999999999,132.5
2020-01-13,103.4,346.8,505.40000000000003,1362.6000000000001,490.25714285714275,156.2
2020-01-14,80.79999999999998,326.59999999999997,450.6,1445.7000000000003,497.11428571428564,155.25
2020-01-15,251.69999999999993,695.1999999999999,1080.5,1134.8999999999999,503.97142857142853,149.4
