MeasurementDateGMT,Enfield - Bush Hill Park: Nitric Oxide (ug/m3),Enfield - Bush Hill Park: Nitrogen Dioxide (ug/m3),Enfield - Bush Hill Park: Oxides of Nitrogen (ug/m3)
2019-03-11,53.4,273.50000000000006,355.40000000000003
2019-03-12,54.000000000000014,348.2,430.40000000000003
2019-03-13,25.9,137.4,177.20000000000005
2019-03-14,28.299999999999997,227.5,271.29999999999995
2019-03-15,28.3,187.79999999999998,231.10000000000005
2019-03-16,39.199999999999996,176.5,236.2
2019-03-17,31.599999999999994,196.8,244.70000000000002
2019-03-18,171.20000000000002,529.1,792.2
2019-03-19,283.15,965.6499999999999,1400.2
2019-03-20,60.7,520.3,613.1
2019-03-21,114.89999999999999,486.59999999999997,663.3
2019-03-22,125.5,598.5,790.9000000000001
2019-03-23,77.10000000000001,567.4000000000002,685.6000000000001
2019-03-24,54.00000000000001,500.90000000000015,584.0000000000002
2019-03-25,54.3,467.30000000000007,550.4
2019-03-26,285.3,845.7999999999998,1283.5999999999997
2019-03-27,138.00000000000003,746.2,958.0
2019-03-28,198.10000000000002,1002.8,1306.8999999999999
2019-03-29,647.1999999999997,1174.8,2167.4000000000005
2019-03-30,392.69999999999993,906.4,1508.6
2019-03-31,58.7,354.59999999999997,444.7
2019-04-01,105.60000000000002,549.7,712.2
2019-04-02,231.90000000000003,785.1999999999999,1140.8999999999999
2019-04-03,143.89999999999998,878.6,1099.6
2019-04-04,219.59999999999997,843.3000000000001,1180.0
2019-04-05,190.90000000000003,700.3999999999999,993.0000000000001
2019-04-06,70.89999999999999,429.5000000000001,538.4
2019-04-07,57.800000000000004,305.3,394.09999999999997
2019-04-08,157.7,623.3,865.0
2019-04-09,72.10000000000001,539.4,649.6999999999999
2019-04-10,77.0,399.99999999999994,518.4
2019-04-11,90.65,541.45,680.2
2019-04-12,109.40000000000003,624.5,792.3000000000001
2019-04-13,99.49999999999999,505.79999999999995,658.6
2019-04-14,103.90000000000002,551.0,710.3999999999999
2019-04-15,148.30000000000004,727.9000000000001,955.6999999999999
2019-04-16,153.79999999999995,917.3,1153.4
2019-04-17,98.1,619.0,769.8
2019-04-18,126.60000000000005,718.9000000000001,913.4000000000001
2019-04-19,56.2,627.8000000000002,714.6999999999999
2019-04-20,36.9,485.6,542.1
2019-04-21,44.40000000000001,640.8000000000001,708.4000000000001
2019-04-22,48.59999999999999,793.3000000000002,867.0
2019-04-23,89.80000000000001,913.9000000000001,1051.3000000000002
2019-04-24,127.20000000000002,710.4,905.9999999999999
2019-04-25,93.19999999999999,494.59999999999997,637.4
2019-04-26,121.1,516.3,702.5000000000001
2019-04-27,25.799999999999997,124.2,163.40000000000003
2019-04-28,34.9,218.70000000000002,271.5
2019-04-29,71.9,496.8,606.5
2019-04-30,108.70000000000003,628.9000000000001,795.7000000000002
2019-05-01,142.29999999999998,643.3,861.4999999999999
2019-05-02,35.8,344.90000000000003,400.2
